Area,Area Type,Indicator,Indicator Type,Year,Year Type,Measure Type,Value,Rate
Perth and Kinross,Council Area,Total Non-EU Registrations,NINo,2010,Calendar,Count,280,1.923076923
Renfrewshire,Council Area,Total Non-EU Registrations,NINo,2010,Calendar,Count,190,1.093839954
SCOTLAND,Council Area,Total Non-EU Registrations,NINo,2010,Calendar,Count,15400,2.926532629
Scottish Borders,Council Area,Total Non-EU Registrations,NINo,2010,Calendar,Count,110,0.967458223
Shetland Islands,Council Area,Total Non-EU Registrations,NINo,2010,Calendar,Count,10,0.433651344
South Ayrshire,Council Area,Total Non-EU Registrations,NINo,2010,Calendar,Count,120,1.065719361
South Lanarkshire,Council Area,Total Non-EU Registrations,NINo,2010,Calendar,Count,210,0.670540903
Stirling,Council Area,Total Non-EU Registrations,NINo,2010,Calendar,Count,230,2.568397543
West Dunbartonshire,Council Area,Total Non-EU Registrations,NINo,2010,Calendar,Count,70,0.77092511
West Lothian,Council Area,Total Non-EU Registrations,NINo,2010,Calendar,Count,160,0.919064852
Aberdeen City,Council Area,Total Non-EU Registrations,NINo,2011,Calendar,Count,1930,8.675716983
Aberdeenshire,Council Area,Total Non-EU Registrations,NINo,2011,Calendar,Count,200,0.788488074
Angus,Council Area,Total Non-EU Registrations,NINo,2011,Calendar,Count,60,0.516351119
Argyll and Bute,Council Area,Total Non-EU Registrations,NINo,2011,Calendar,Count,80,0.899583942
City of Edinburgh,Council Area,Total Non-EU Registrations,NINo,2011,Calendar,Count,4100,8.578482655
Clackmannanshire,Council Area,Total Non-EU Registrations,NINo,2011,Calendar,Count,20,0.388349515
Dumfries and Galloway,Council Area,Total Non-EU Registrations,NINo,2011,Calendar,Count,80,0.528366686
Dundee City,Council Area,Total Non-EU Registrations,NINo,2011,Calendar,Count,570,3.872282609
East Ayrshire,Council Area,Total Non-EU Registrations,NINo,2011,Calendar,Count,40,0.326024941
East Dunbartonshire,Council Area,Total Non-EU Registrations,NINo,2011,Calendar,Count,80,0.761904762
East Lothian,Council Area,Total Non-EU Registrations,NINo,2011,Calendar,Count,90,0.900720576
East Renfrewshire,Council Area,Total Non-EU Registrations,NINo,2011,Calendar,Count,60,0.660720185
Falkirk,Council Area,Total Non-EU Registrations,NINo,2011,Calendar,Count,100,0.64
Fife,Council Area,Total Non-EU Registrations,NINo,2011,Calendar,Count,680,1.861483712
Glasgow City,Council Area,Total Non-EU Registrations,NINo,2011,Calendar,Count,4490,7.57090345
Highland,Council Area,Total Non-EU Registrations,NINo,2011,Calendar,Count,210,0.902333176
Inverclyde,Council Area,Total Non-EU Registrations,NINo,2011,Calendar,Count,30,0.369367151
Midlothian,Council Area,Total Non-EU Registrations,NINo,2011,Calendar,Count,70,0.838825644
Moray,Council Area,Total Non-EU Registrations,NINo,2011,Calendar,Count,40,0.427944795
Na h-Eileanan Siar,Council Area,Total Non-EU Registrations,NINo,2011,Calendar,Count,10,0.361141206
North Ayrshire,Council Area,Total Non-EU Registrations,NINo,2011,Calendar,Count,80,0.57933232
North Lanarkshire,Council Area,Total Non-EU Registrations,NINo,2011,Calendar,Count,210,0.62181689
Orkney Islands,Council Area,Total Non-EU Registrations,NINo,2011,Calendar,Count,10,0.466853408
Perth and Kinross,Council Area,Total Non-EU Registrations,NINo,2011,Calendar,Count,240,1.634320735
