Area,Area Type,Indicator,Indicator Type,Year,Year Type,Measure Type,Value,Rate
Fife,Health Board,Rest of UK In-Migration,Flow,2014,Mid-Year,Count,3230,8.795098707
Forth Valley,Health Board,Rest of UK In-Migration,Flow,2014,Mid-Year,Count,2320,7.723035952
Glasgow City,Council Area,Rest of UK In-Migration,Flow,2014,Mid-Year,Count,6440,10.7397772
Grampian,Health Board,Rest of UK In-Migration,Flow,2014,Mid-Year,Count,6300,10.78360891
Greater Glasgow and Clyde,Health Board,Rest of UK In-Migration,Flow,2014,Mid-Year,Count,8750,7.658040067
Highland,Council Area,Rest of UK In-Migration,Flow,2014,Mid-Year,Count,2470,10.59721984
Highland,Health Board,Rest of UK In-Migration,Flow,2014,Mid-Year,Count,3850,12.00386618
Inverclyde,Council Area,Rest of UK In-Migration,Flow,2014,Mid-Year,Count,370,4.631368131
Lanarkshire,Health Board,Rest of UK In-Migration,Flow,2014,Mid-Year,Count,2760,4.224705342
Lothian,Health Board,Rest of UK In-Migration,Flow,2014,Mid-Year,Count,11660,13.58784319
Midlothian,Council Area,Rest of UK In-Migration,Flow,2014,Mid-Year,Count,510,5.915100905
Moray,Council Area,Rest of UK In-Migration,Flow,2014,Mid-Year,Count,1300,13.71742112
Na h-Eileanan Siar,Council Area,Rest of UK In-Migration,Flow,2014,Mid-Year,Count,230,8.440366972
North Ayrshire,Council Area,Rest of UK In-Migration,Flow,2014,Mid-Year,Count,880,6.447831184
North Lanarkshire,Council Area,Rest of UK In-Migration,Flow,2014,Mid-Year,Count,1250,3.698224852
Orkney,Health Board,Rest of UK In-Migration,Flow,2014,Mid-Year,Count,320,14.82854495
Orkney Islands,Council Area,Rest of UK In-Migration,Flow,2014,Mid-Year,Count,320,14.82854495
Perth and Kinross,Council Area,Rest of UK In-Migration,Flow,2014,Mid-Year,Count,1380,9.266098167
Renfrewshire,Council Area,Rest of UK In-Migration,Flow,2014,Mid-Year,Count,700,4.017677782
SCOTLAND,Council Area,Rest of UK In-Migration,Flow,2014,Mid-Year,Count,49200,9.20038896
SCOTLAND,Health Board,Rest of UK In-Migration,Flow,2014,Mid-Year,Count,49200,9.20038896
Scottish Borders,Council Area,Rest of UK In-Migration,Flow,2014,Mid-Year,Count,1600,14.03016485
Shetland,Health Board,Rest of UK In-Migration,Flow,2014,Mid-Year,Count,270,11.62790698
Shetland Islands,Council Area,Rest of UK In-Migration,Flow,2014,Mid-Year,Count,270,11.62790698
South Ayrshire,Council Area,Rest of UK In-Migration,Flow,2014,Mid-Year,Count,790,7.020350129
South Lanarkshire,Council Area,Rest of UK In-Migration,Flow,2014,Mid-Year,Count,1510,4.789089756
Stirling,Council Area,Rest of UK In-Migration,Flow,2014,Mid-Year,Count,1200,13.11188811
Tayside,Health Board,Rest of UK In-Migration,Flow,2014,Mid-Year,Count,3520,8.506524891
West Dunbartonshire,Council Area,Rest of UK In-Migration,Flow,2014,Mid-Year,Count,380,4.23587114
West Lothian,Council Area,Rest of UK In-Migration,Flow,2014,Mid-Year,Count,970,5.474040632
Western Isles,Health Board,Rest of UK In-Migration,Flow,2014,Mid-Year,Count,230,8.440366972
Aberdeen City,Council Area,Rest of UK In-Migration,Flow,2015,Mid-Year,Count,2660,11.54764489
Aberdeenshire,Council Area,Rest of UK In-Migration,Flow,2015,Mid-Year,Count,1540,5.878760116
Angus,Council Area,Rest of UK In-Migration,Flow,2015,Mid-Year,Count,730,6.24465355
Argyll and Bute,Council Area,Rest of UK In-Migration,Flow,2015,Mid-Year,Count,1340,15.42179768
Ayrshire and Arran,Health Board,Rest of UK In-Migration,Flow,2015,Mid-Year,Count,2220,5.990447665
Borders,Health Board,Rest of UK In-Migration,Flow,2015,Mid-Year,Count,1580,13.85600281
City of Edinburgh,Council Area,Rest of UK In-Migration,Flow,2015,Mid-Year,Count,9500,19.04532788
Clackmannanshire,Council Area,Rest of UK In-Migration,Flow,2015,Mid-Year,Count,300,5.841121495
Dumfries and Galloway,Council Area,Rest of UK In-Migration,Flow,2015,Mid-Year,Count,1910,12.76140843
Dumfries and Galloway,Health Board,Rest of UK In-Migration,Flow,2015,Mid-Year,Count,1910,12.76140843
Dundee City,Council Area,Rest of UK In-Migration,Flow,2015,Mid-Year,Count,1380,9.31111261
East Ayrshire,Council Area,Rest of UK In-Migration,Flow,2015,Mid-Year,Count,660,5.407176798
East Dunbartonshire,Council Area,Rest of UK In-Migration,Flow,2015,Mid-Year,Count,480,4.487658938
East Lothian,Council Area,Rest of UK In-Migration,Flow,2015,Mid-Year,Count,690,6.695778748
East Renfrewshire,Council Area,Rest of UK In-Migration,Flow,2015,Mid-Year,Count,400,4.303851947
Falkirk,Council Area,Rest of UK In-Migration,Flow,2015,Mid-Year,Count,730,4.606840843
Fife,Council Area,Rest of UK In-Migration,Flow,2015,Mid-Year,Count,2980,8.096066073
Fife,Health Board,Rest of UK In-Migration,Flow,2015,Mid-Year,Count,2980,8.096066073
Forth Valley,Health Board,Rest of UK In-Migration,Flow,2015,Mid-Year,Count,2150,7.103915414
Glasgow City,Council Area,Rest of UK In-Migration,Flow,2015,Mid-Year,Count,6600,10.88498202
Grampian,Health Board,Rest of UK In-Migration,Flow,2015,Mid-Year,Count,5460,9.288557722
Greater Glasgow and Clyde,Health Board,Rest of UK In-Migration,Flow,2015,Mid-Year,Count,8970,7.800746158
Highland,Council Area,Rest of UK In-Migration,Flow,2015,Mid-Year,Count,2470,10.55059587
Highland,Health Board,Rest of UK In-Migration,Flow,2015,Mid-Year,Count,3820,11.90031153
Inverclyde,Council Area,Rest of UK In-Migration,Flow,2015,Mid-Year,Count,350,4.402515723
Lanarkshire,Health Board,Rest of UK In-Migration,Flow,2015,Mid-Year,Count,2440,3.72809363
Lothian,Health Board,Rest of UK In-Migration,Flow,2015,Mid-Year,Count,11450,13.1942844
Midlothian,Council Area,Rest of UK In-Migration,Flow,2015,Mid-Year,Count,400,4.577182744
Moray,Council Area,Rest of UK In-Migration,Flow,2015,Mid-Year,Count,1260,13.19233588
Na h-Eileanan Siar,Council Area,Rest of UK In-Migration,Flow,2015,Mid-Year,Count,220,8.127077946
North Ayrshire,Council Area,Rest of UK In-Migration,Flow,2015,Mid-Year,Count,750,5.509439506
North Lanarkshire,Council Area,Rest of UK In-Migration,Flow,2015,Mid-Year,Count,1180,3.488440844
Orkney,Health Board,Rest of UK In-Migration,Flow,2015,Mid-Year,Count,270,12.4596216
Orkney Islands,Council Area,Rest of UK In-Migration,Flow,2015,Mid-Year,Count,270,12.4596216
Perth and Kinross,Council Area,Rest of UK In-Migration,Flow,2015,Mid-Year,Count,1360,9.070899753
Renfrewshire,Council Area,Rest of UK In-Migration,Flow,2015,Mid-Year,Count,790,4.525664528
SCOTLAND,Council Area,Rest of UK In-Migration,Flow,2015,Mid-Year,Count,47200,8.784664061
SCOTLAND,Health Board,Rest of UK In-Migration,Flow,2015,Mid-Year,Count,47200,8.784664061
Scottish Borders,Council Area,Rest of UK In-Migration,Flow,2015,Mid-Year,Count,1580,13.85600281
Shetland,Health Board,Rest of UK In-Migration,Flow,2015,Mid-Year,Count,220,9.482758621
Shetland Islands,Council Area,Rest of UK In-Migration,Flow,2015,Mid-Year,Count,220,9.482758621
South Ayrshire,Council Area,Rest of UK In-Migration,Flow,2015,Mid-Year,Count,810,7.206405694
South Lanarkshire,Council Area,Rest of UK In-Migration,Flow,2015,Mid-Year,Count,1260,3.984441704
Stirling,Council Area,Rest of UK In-Migration,Flow,2015,Mid-Year,Count,1110,11.95734138
Tayside,Health Board,Rest of UK In-Migration,Flow,2015,Mid-Year,Count,3470,8.360639938
West Dunbartonshire,Council Area,Rest of UK In-Migration,Flow,2015,Mid-Year,Count,350,3.906686014
West Lothian,Council Area,Rest of UK In-Migration,Flow,2015,Mid-Year,Count,860,4.816577989
Western Isles,Health Board,Rest of UK In-Migration,Flow,2015,Mid-Year,Count,220,8.127077946
Aberdeen City,Council Area,Rest of UK In-Migration,Flow,2016,Mid-Year,Count,1970,8.571179951
Aberdeenshire,Council Area,Rest of UK In-Migration,Flow,2016,Mid-Year,Count,1240,4.729394714
Angus,Council Area,Rest of UK In-Migration,Flow,2016,Mid-Year,Count,620,5.32097494
Argyll and Bute,Council Area,Rest of UK In-Migration,Flow,2016,Mid-Year,Count,1370,15.72363136
Ayrshire and Arran,Health Board,Rest of UK In-Migration,Flow,2016,Mid-Year,Count,2250,6.071891192
Borders,Health Board,Rest of UK In-Migration,Flow,2016,Mid-Year,Count,1580,13.79551209
City of Edinburgh,Council Area,Rest of UK In-Migration,Flow,2016,Mid-Year,Count,9630,18.98771615
Clackmannanshire,Council Area,Rest of UK In-Migration,Flow,2016,Mid-Year,Count,290,5.64751704
Dumfries and Galloway,Council Area,Rest of UK In-Migration,Flow,2016,Mid-Year,Count,1870,12.50668807
Dumfries and Galloway,Health Board,Rest of UK In-Migration,Flow,2016,Mid-Year,Count,1870,12.50668807
Dundee City,Council Area,Rest of UK In-Migration,Flow,2016,Mid-Year,Count,1260,8.498010386
East Ayrshire,Council Area,Rest of UK In-Migration,Flow,2016,Mid-Year,Count,600,4.909983633
East Dunbartonshire,Council Area,Rest of UK In-Migration,Flow,2016,Mid-Year,Count,480,4.463455458
East Lothian,Council Area,Rest of UK In-Migration,Flow,2016,Mid-Year,Count,680,6.532808147
East Renfrewshire,Council Area,Rest of UK In-Migration,Flow,2016,Mid-Year,Count,420,4.477134634
Falkirk,Council Area,Rest of UK In-Migration,Flow,2016,Mid-Year,Count,700,4.392019074
Fife,Council Area,Rest of UK In-Migration,Flow,2016,Mid-Year,Count,2870,7.749844733
Fife,Health Board,Rest of UK In-Migration,Flow,2016,Mid-Year,Count,2870,7.749844733
Forth Valley,Health Board,Rest of UK In-Migration,Flow,2016,Mid-Year,Count,2110,6.929847609
Glasgow City,Council Area,Rest of UK In-Migration,Flow,2016,Mid-Year,Count,6730,10.94184402
Grampian,Health Board,Rest of UK In-Migration,Flow,2016,Mid-Year,Count,4400,7.481720796
Greater Glasgow and Clyde,Health Board,Rest of UK In-Migration,Flow,2016,Mid-Year,Count,9150,7.878626105
Highland,Council Area,Rest of UK In-Migration,Flow,2016,Mid-Year,Count,6730,28.6663543
Highland,Health Board,Rest of UK In-Migration,Flow,2016,Mid-Year,Count,3910,12.14662939
Inverclyde,Council Area,Rest of UK In-Migration,Flow,2016,Mid-Year,Count,310,3.916119252
Lanarkshire,Health Board,Rest of UK In-Migration,Flow,2016,Mid-Year,Count,2620,3.990921415
Lothian,Health Board,Rest of UK In-Migration,Flow,2016,Mid-Year,Count,11630,13.21590909
Midlothian,Council Area,Rest of UK In-Migration,Flow,2016,Mid-Year,Count,410,4.627017267
Moray,Council Area,Rest of UK In-Migration,Flow,2016,Mid-Year,Count,1180,12.28271052
Na h-Eileanan Siar,Council Area,Rest of UK In-Migration,Flow,2016,Mid-Year,Count,230,8.550185874
North Ayrshire,Council Area,Rest of UK In-Migration,Flow,2016,Mid-Year,Count,810,5.96070351
North Lanarkshire,Council Area,Rest of UK In-Migration,Flow,2016,Mid-Year,Count,1170,3.447361443
Orkney,Health Board,Rest of UK In-Migration,Flow,2016,Mid-Year,Count,390,17.84897025
Orkney Islands,Council Area,Rest of UK In-Migration,Flow,2016,Mid-Year,Count,390,17.84897025
Perth and Kinross,Council Area,Rest of UK In-Migration,Flow,2016,Mid-Year,Count,1150,7.632067959
Renfrewshire,Council Area,Rest of UK In-Migration,Flow,2016,Mid-Year,Count,850,4.831467061
SCOTLAND,Council Area,Rest of UK In-Migration,Flow,2016,Mid-Year,Count,46300,8.566617944
SCOTLAND,Health Board,Rest of UK In-Migration,Flow,2016,Mid-Year,Count,46300,8.566617944
Scottish Borders,Council Area,Rest of UK In-Migration,Flow,2016,Mid-Year,Count,1580,13.79551209
Shetland,Health Board,Rest of UK In-Migration,Flow,2016,Mid-Year,Count,270,11.63793103
Shetland Islands,Council Area,Rest of UK In-Migration,Flow,2016,Mid-Year,Count,270,11.63793103
South Ayrshire,Council Area,Rest of UK In-Migration,Flow,2016,Mid-Year,Count,840,7.468658309
South Lanarkshire,Council Area,Rest of UK In-Migration,Flow,2016,Mid-Year,Count,1450,4.572690003
Stirling,Council Area,Rest of UK In-Migration,Flow,2016,Mid-Year,Count,1120,11.94666667
Tayside,Health Board,Rest of UK In-Migration,Flow,2016,Mid-Year,Count,3040,7.317014466
West Dunbartonshire,Council Area,Rest of UK In-Migration,Flow,2016,Mid-Year,Count,370,4.117516136
West Lothian,Council Area,Rest of UK In-Migration,Flow,2016,Mid-Year,Count,910,5.051906956
Western Isles,Health Board,Rest of UK In-Migration,Flow,2016,Mid-Year,Count,230,8.550185874
Aberdeen City,Council Area,Rest of UK In-Migration,Flow,2017,Mid-Year,Count,2080,9.090909091
Aberdeenshire,Council Area,Rest of UK In-Migration,Flow,2017,Mid-Year,Count,1200,4.583651642
Angus,Council Area,Rest of UK In-Migration,Flow,2017,Mid-Year,Count,610,5.245958032
Argyll and Bute,Council Area,Rest of UK In-Migration,Flow,2017,Mid-Year,Count,1510,17.39430941
Ayrshire and Arran,Health Board,Rest of UK In-Migration,Flow,2017,Mid-Year,Count,2300,6.209335601
Borders,Health Board,Rest of UK In-Migration,Flow,2017,Mid-Year,Count,1600,13.91062424
City of Edinburgh,Council Area,Rest of UK In-Migration,Flow,2017,Mid-Year,Count,10060,19.6021122
Clackmannanshire,Council Area,Rest of UK In-Migration,Flow,2017,Mid-Year,Count,270,5.247813411
Dumfries and Galloway,Council Area,Rest of UK In-Migration,Flow,2017,Mid-Year,Count,2130,14.27613941
Dumfries and Galloway,Health Board,Rest of UK In-Migration,Flow,2017,Mid-Year,Count,2130,14.27613941
Dundee City,Council Area,Rest of UK In-Migration,Flow,2017,Mid-Year,Count,1380,9.279806334
East Ayrshire,Council Area,Rest of UK In-Migration,Flow,2017,Mid-Year,Count,660,5.41249795
East Dunbartonshire,Council Area,Rest of UK In-Migration,Flow,2017,Mid-Year,Count,470,4.346619809
East Lothian,Council Area,Rest of UK In-Migration,Flow,2017,Mid-Year,Count,790,7.535291873
East Renfrewshire,Council Area,Rest of UK In-Migration,Flow,2017,Mid-Year,Count,440,4.643309413
Falkirk,Council Area,Rest of UK In-Migration,Flow,2017,Mid-Year,Count,730,4.558795978
Fife,Council Area,Rest of UK In-Migration,Flow,2017,Mid-Year,Count,3040,8.185024636
Fife,Health Board,Rest of UK In-Migration,Flow,2017,Mid-Year,Count,3040,8.185024636
Forth Valley,Health Board,Rest of UK In-Migration,Flow,2017,Mid-Year,Count,2040,6.67582957
Glasgow City,Council Area,Rest of UK In-Migration,Flow,2017,Mid-Year,Count,6820,10.98193295
Grampian,Health Board,Rest of UK In-Migration,Flow,2017,Mid-Year,Count,4420,7.53777414
Greater Glasgow and Clyde,Health Board,Rest of UK In-Migration,Flow,2017,Mid-Year,Count,9220,7.886340892
Highland,Council Area,Rest of UK In-Migration,Flow,2017,Mid-Year,Count,2550,10.84275874
Highland,Health Board,Rest of UK In-Migration,Flow,2017,Mid-Year,Count,4060,12.60908724
Inverclyde,Council Area,Rest of UK In-Migration,Flow,2017,Mid-Year,Count,300,3.809040122
Lanarkshire,Health Board,Rest of UK In-Migration,Flow,2017,Mid-Year,Count,2470,3.753057906
Lothian,Health Board,Rest of UK In-Migration,Flow,2017,Mid-Year,Count,12080,13.58142672
Midlothian,Council Area,Rest of UK In-Migration,Flow,2017,Mid-Year,Count,430,4.773004773
Moray,Council Area,Rest of UK In-Migration,Flow,2017,Mid-Year,Count,1140,11.90227605
Na h-Eileanan Siar,Council Area,Rest of UK In-Migration,Flow,2017,Mid-Year,Count,340,12.61595547
North Ayrshire,Council Area,Rest of UK In-Migration,Flow,2017,Mid-Year,Count,830,6.112379409
North Lanarkshire,Council Area,Rest of UK In-Migration,Flow,2017,Mid-Year,Count,1090,3.20625956
Orkney,Health Board,Rest of UK In-Migration,Flow,2017,Mid-Year,Count,330,15
Orkney Islands,Council Area,Rest of UK In-Migration,Flow,2017,Mid-Year,Count,330,15
Perth and Kinross,Council Area,Rest of UK In-Migration,Flow,2017,Mid-Year,Count,1370,9.06684315
Renfrewshire,Council Area,Rest of UK In-Migration,Flow,2017,Mid-Year,Count,820,4.637222191
SCOTLAND,Council Area,Rest of UK In-Migration,Flow,2017,Mid-Year,Count,47600,8.774517033
SCOTLAND,Health Board,Rest of UK In-Migration,Flow,2017,Mid-Year,Count,47600,8.774517033
Scottish Borders,Council Area,Rest of UK In-Migration,Flow,2017,Mid-Year,Count,1600,13.91062424
Shetland,Health Board,Rest of UK In-Migration,Flow,2017,Mid-Year,Count,190,8.232235702
Shetland Islands,Council Area,Rest of UK In-Migration,Flow,2017,Mid-Year,Count,190,8.232235702
South Ayrshire,Council Area,Rest of UK In-Migration,Flow,2017,Mid-Year,Count,820,7.277245296
South Lanarkshire,Council Area,Rest of UK In-Migration,Flow,2017,Mid-Year,Count,1380,4.337303957
Stirling,Council Area,Rest of UK In-Migration,Flow,2017,Mid-Year,Count,1050,11.17021277
Tayside,Health Board,Rest of UK In-Migration,Flow,2017,Mid-Year,Count,3360,8.075176044
West Dunbartonshire,Council Area,Rest of UK In-Migration,Flow,2017,Mid-Year,Count,360,4.017408771
West Lothian,Council Area,Rest of UK In-Migration,Flow,2017,Mid-Year,Count,810,4.467486625
Western Isles,Health Board,Rest of UK In-Migration,Flow,2017,Mid-Year,Count,340,12.61595547
Aberdeen City,Council Area,Rest of UK In-Migration,Flow,2018,Mid-Year,Count,1780,7.822112849
Aberdeenshire,Council Area,Rest of UK In-Migration,Flow,2018,Mid-Year,Count,1230,4.704172563
Angus,Council Area,Rest of UK In-Migration,Flow,2018,Mid-Year,Count,620,5.342985178
Argyll and Bute,Council Area,Rest of UK In-Migration,Flow,2018,Mid-Year,Count,1640,19.01228843
Ayrshire and Arran,Health Board,Rest of UK In-Migration,Flow,2018,Mid-Year,Count,2130,5.761895745
Borders,Health Board,Rest of UK In-Migration,Flow,2018,Mid-Year,Count,1690,14.66123016
City of Edinburgh,Council Area,Rest of UK In-Migration,Flow,2018,Mid-Year,Count,10200,19.67213115
Clackmannanshire,Council Area,Rest of UK In-Migration,Flow,2018,Mid-Year,Count,320,6.225680934
Dumfries and Galloway,Council Area,Rest of UK In-Migration,Flow,2018,Mid-Year,Count,2120,14.24826937
Dumfries and Galloway,Health Board,Rest of UK In-Migration,Flow,2018,Mid-Year,Count,2120,14.24826937
Dundee City,Council Area,Rest of UK In-Migration,Flow,2018,Mid-Year,Count,1370,9.210084034
East Ayrshire,Council Area,Rest of UK In-Migration,Flow,2018,Mid-Year,Count,610,5.006565988
East Dunbartonshire,Council Area,Rest of UK In-Migration,Flow,2018,Mid-Year,Count,500,4.615526632
East Lothian,Council Area,Rest of UK In-Migration,Flow,2018,Mid-Year,Count,700,6.616882503
East Renfrewshire,Council Area,Rest of UK In-Migration,Flow,2018,Mid-Year,Count,390,4.09793002
Falkirk,Council Area,Rest of UK In-Migration,Flow,2018,Mid-Year,Count,650,4.053885493
Fife,Council Area,Rest of UK In-Migration,Flow,2018,Mid-Year,Count,3030,8.147132371
Fife,Health Board,Rest of UK In-Migration,Flow,2018,Mid-Year,Count,3030,8.147132371
Forth Valley,Health Board,Rest of UK In-Migration,Flow,2018,Mid-Year,Count,2080,6.795831019
Glasgow City,Council Area,Rest of UK In-Migration,Flow,2018,Mid-Year,Count,7190,11.47810539
Grampian,Health Board,Rest of UK In-Migration,Flow,2018,Mid-Year,Count,4130,7.065263878
Greater Glasgow and Clyde,Health Board,Rest of UK In-Migration,Flow,2018,Mid-Year,Count,9450,8.042690088
Highland,Council Area,Rest of UK In-Migration,Flow,2018,Mid-Year,Count,2630,11.16583171
Highland,Health Board,Rest of UK In-Migration,Flow,2018,Mid-Year,Count,4270,13.26911125
Inverclyde,Council Area,Rest of UK In-Migration,Flow,2018,Mid-Year,Count,350,4.478566859
Lanarkshire,Health Board,Rest of UK In-Migration,Flow,2018,Mid-Year,Count,2550,3.868325243
Lothian,Health Board,Rest of UK In-Migration,Flow,2018,Mid-Year,Count,12150,13.53353309
Midlothian,Council Area,Rest of UK In-Migration,Flow,2018,Mid-Year,Count,410,4.488723451
Moray,Council Area,Rest of UK In-Migration,Flow,2018,Mid-Year,Count,1120,11.72529313
Na h-Eileanan Siar,Council Area,Rest of UK In-Migration,Flow,2018,Mid-Year,Count,270,10.06336191
North Ayrshire,Council Area,Rest of UK In-Migration,Flow,2018,Mid-Year,Count,760,5.617977528
North Lanarkshire,Council Area,Rest of UK In-Migration,Flow,2018,Mid-Year,Count,1170,3.439355635
Orkney,Health Board,Rest of UK In-Migration,Flow,2018,Mid-Year,Count,380,17.124831
Orkney Islands,Council Area,Rest of UK In-Migration,Flow,2018,Mid-Year,Count,380,17.124831
Perth and Kinross,Council Area,Rest of UK In-Migration,Flow,2018,Mid-Year,Count,1210,7.997884857
Renfrewshire,Council Area,Rest of UK In-Migration,Flow,2018,Mid-Year,Count,710,3.993475449
SCOTLAND,Council Area,Rest of UK In-Migration,Flow,2018,Mid-Year,Count,47700,8.771445909
SCOTLAND,Health Board,Rest of UK In-Migration,Flow,2018,Mid-Year,Count,47700,8.771445909
Scottish Borders,Council Area,Rest of UK In-Migration,Flow,2018,Mid-Year,Count,1690,14.66123016
Shetland,Health Board,Rest of UK In-Migration,Flow,2018,Mid-Year,Count,220,9.56937799
Shetland Islands,Council Area,Rest of UK In-Migration,Flow,2018,Mid-Year,Count,220,9.56937799
South Ayrshire,Council Area,Rest of UK In-Migration,Flow,2018,Mid-Year,Count,760,6.75255442
South Lanarkshire,Council Area,Rest of UK In-Migration,Flow,2018,Mid-Year,Count,1380,4.325747602
Stirling,Council Area,Rest of UK In-Migration,Flow,2018,Mid-Year,Count,1110,11.76720025
Tayside,Health Board,Rest of UK In-Migration,Flow,2018,Mid-Year,Count,3200,7.690828687
West Dunbartonshire,Council Area,Rest of UK In-Migration,Flow,2018,Mid-Year,Count,320,3.590261416
West Lothian,Council Area,Rest of UK In-Migration,Flow,2018,Mid-Year,Count,840,4.611837048
Western Isles,Health Board,Rest of UK In-Migration,Flow,2018,Mid-Year,Count,270,10.06336191
Aberdeen City,Council Area,Rest of UK Net Migration,Flow,2004,Mid-Year,Count,-390,-1.876624002
Aberdeenshire,Council Area,Rest of UK Net Migration,Flow,2004,Mid-Year,Count,1870,7.967957731
Angus,Council Area,Rest of UK Net Migration,Flow,2004,Mid-Year,Count,450,4.084596533
Argyll and Bute,Council Area,Rest of UK Net Migration,Flow,2004,Mid-Year,Count,830,9.163170678
Ayrshire and Arran,Health Board,Rest of UK Net Migration,Flow,2004,Mid-Year,Count,680,1.845068512
Borders,Health Board,Rest of UK Net Migration,Flow,2004,Mid-Year,Count,1060,9.684787574
City of Edinburgh,Council Area,Rest of UK Net Migration,Flow,2004,Mid-Year,Count,2050,4.597752708
Clackmannanshire,Council Area,Rest of UK Net Migration,Flow,2004,Mid-Year,Count,260,5.341002465
Dumfries and Galloway,Council Area,Rest of UK Net Migration,Flow,2004,Mid-Year,Count,1490,10.02017485
Dumfries and Galloway,Health Board,Rest of UK Net Migration,Flow,2004,Mid-Year,Count,1490,10.02017485
Dundee City,Council Area,Rest of UK Net Migration,Flow,2004,Mid-Year,Count,-160,-1.118099231
East Ayrshire,Council Area,Rest of UK Net Migration,Flow,2004,Mid-Year,Count,220,1.830130605
East Dunbartonshire,Council Area,Rest of UK Net Migration,Flow,2004,Mid-Year,Count,-110,-1.032476065
East Lothian,Council Area,Rest of UK Net Migration,Flow,2004,Mid-Year,Count,120,1.301942064
East Renfrewshire,Council Area,Rest of UK Net Migration,Flow,2004,Mid-Year,Count,-150,-1.670564651
Falkirk,Council Area,Rest of UK Net Migration,Flow,2004,Mid-Year,Count,390,2.62980445
Fife,Council Area,Rest of UK Net Migration,Flow,2004,Mid-Year,Count,960,2.719161592
Fife,Health Board,Rest of UK Net Migration,Flow,2004,Mid-Year,Count,960,2.719161592
Forth Valley,Health Board,Rest of UK Net Migration,Flow,2004,Mid-Year,Count,980,3.45191969
Glasgow City,Council Area,Rest of UK Net Migration,Flow,2004,Mid-Year,Count,40,0.070229651
Grampian,Health Board,Rest of UK Net Migration,Flow,2004,Mid-Year,Count,2340,4.399405892
Greater Glasgow and Clyde,Health Board,Rest of UK Net Migration,Flow,2004,Mid-Year,Count,-610,-0.548556218
Highland,Council Area,Rest of UK Net Migration,Flow,2004,Mid-Year,Count,2820,13.14317673
Highland,Health Board,Rest of UK Net Migration,Flow,2004,Mid-Year,Count,3650,11.96172249
Inverclyde,Council Area,Rest of UK Net Migration,Flow,2004,Mid-Year,Count,-120,-1.451203289
Lanarkshire,Health Board,Rest of UK Net Migration,Flow,2004,Mid-Year,Count,670,1.061705702
Lothian,Health Board,Rest of UK Net Migration,Flow,2004,Mid-Year,Count,2150,2.750028779
Midlothian,Council Area,Rest of UK Net Migration,Flow,2004,Mid-Year,Count,0,0
Moray,Council Area,Rest of UK Net Migration,Flow,2004,Mid-Year,Count,870,9.73372119
Na h-Eileanan Siar,Council Area,Rest of UK Net Migration,Flow,2004,Mid-Year,Count,320,12.00750469
North Ayrshire,Council Area,Rest of UK Net Migration,Flow,2004,Mid-Year,Count,100,0.732600733
North Lanarkshire,Council Area,Rest of UK Net Migration,Flow,2004,Mid-Year,Count,150,0.460971112
Orkney,Health Board,Rest of UK Net Migration,Flow,2004,Mid-Year,Count,320,16.13716591
Orkney Islands,Council Area,Rest of UK Net Migration,Flow,2004,Mid-Year,Count,320,16.13716591
Perth and Kinross,Council Area,Rest of UK Net Migration,Flow,2004,Mid-Year,Count,1030,7.523739956
Renfrewshire,Council Area,Rest of UK Net Migration,Flow,2004,Mid-Year,Count,-140,-0.816469353
SCOTLAND,Council Area,Rest of UK Net Migration,Flow,2004,Mid-Year,Count,15500,3.048600594
SCOTLAND,Health Board,Rest of UK Net Migration,Flow,2004,Mid-Year,Count,15500,3.048600594
Scottish Borders,Council Area,Rest of UK Net Migration,Flow,2004,Mid-Year,Count,1060,9.684787574
Shetland,Health Board,Rest of UK Net Migration,Flow,2004,Mid-Year,Count,180,8.148483477
Shetland Islands,Council Area,Rest of UK Net Migration,Flow,2004,Mid-Year,Count,180,8.148483477
South Ayrshire,Council Area,Rest of UK Net Migration,Flow,2004,Mid-Year,Count,360,3.21888412
South Lanarkshire,Council Area,Rest of UK Net Migration,Flow,2004,Mid-Year,Count,480,1.570372309
Stirling,Council Area,Rest of UK Net Migration,Flow,2004,Mid-Year,Count,320,3.681546249
Tayside,Health Board,Rest of UK Net Migration,Flow,2004,Mid-Year,Count,1320,3.383140682
West Dunbartonshire,Council Area,Rest of UK Net Migration,Flow,2004,Mid-Year,Count,-70,-0.761200522
West Lothian,Council Area,Rest of UK Net Migration,Flow,2004,Mid-Year,Count,-20,-0.12229424
Western Isles,Health Board,Rest of UK Net Migration,Flow,2004,Mid-Year,Count,320,12.00750469
Aberdeen City,Council Area,Rest of UK Net Migration,Flow,2005,Mid-Year,Count,50,0.239589822
Aberdeenshire,Council Area,Rest of UK Net Migration,Flow,2005,Mid-Year,Count,1290,5.429978533
Angus,Council Area,Rest of UK Net Migration,Flow,2005,Mid-Year,Count,440,3.95185917
Argyll and Bute,Council Area,Rest of UK Net Migration,Flow,2005,Mid-Year,Count,570,6.309497454
Ayrshire and Arran,Health Board,Rest of UK Net Migration,Flow,2005,Mid-Year,Count,520,1.409214092
Borders,Health Board,Rest of UK Net Migration,Flow,2005,Mid-Year,Count,570,5.170068027
City of Edinburgh,Council Area,Rest of UK Net Migration,Flow,2005,Mid-Year,Count,1650,3.670990277
Clackmannanshire,Council Area,Rest of UK Net Migration,Flow,2005,Mid-Year,Count,270,5.492270138
